STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5896	24.9406780638768	38.9831853460637	1	0	1	1	2
2	20383	116.930411305409	175.647397944256	1	0	1	2	22.9966020840048
3	8954	441.886103528801	441.518799819836	1	0	1	3	25.3933580403647
4	3839	581.767385795083	1002.95212110683	1	0	1	4	24.7315968756231
5	10373	177.215452817541	247.401161216602	1	0	1	5	16.4838994693657
1	19228	230.328308166003	444.451930940851	1	0	2	1	35.3483612474074
2	11528	1003.2336141991	1075.21465502813	1	0	2	2	51.269551322712
3	5324	298.544508302418	528.880263832139	1	0	2	3	11.6467775719205
4	14443	153.02315926565	222.899764981865	1	0	2	4	13.3161106631342
5	4191	326.646939609501	724.210485600284	1	0	2	5	12.5543098518659
1	9218	174.723842859664	419.053249088984	1	0	3	1	33.9654682125841
2	17710	73.9110850902861	144.553424570266	1	0	3	2	22.5101627868038
3	35134	389.858446530538	434.168138179771	1	0	3	3	134.127316532537
4	15158	192.219375295516	216.9212834496	1	0	3	4	28.9118417249044
1	8162	177.518952666557	236.532498853992	1	0	4	1	8.08768379745423
2	2409	1011.37703658628	1194.4384748777	1	0	4	2	12.05417070197
3	10307	181.509676597902	234.95818618765	1	0	4	3	10.1451765682457
4	2332	617.50511646002	1262.45293255759	1	0	4	4	12.3333340506328
5	5027	187.097204243954	277.545575559595	1	0	4	5	5.84493851135904
1	12914	90.0079125448085	117.387253058454	1	0	5	1	10.1484249407175
2	4895	220.412829649081	188.131796262129	1	0	5	2	6.16498210322339
3	11022	594.153371680845	574.609251060335	1	0	5	3	42.3984463288888
4	8162	291.139598321191	249.049030432567	1	0	5	4	13.6081274373616
