STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	34353	21.2510126054527	71.7702478070219	1	0	1	1	10.7197428054083
2	9306	126.350013352397	319.472155584064	1	0	1	2	12.9262130819871
3	2739	519.324834723638	939.11640242062	1	0	1	3	11.1837308999443
4	3047	2069.72767309928	3186.73707857726	1	0	1	4	42.2176386379612
1	31152	68.1333134181707	262.126833525209	1	0	2	1	9.40002255935014
2	12023	548.676910471125	1260.59446990038	1	0	2	2	17.446958382165
3	7942	1779.55091147404	3021.48554364998	1	0	2	3	27.6237022271022
4	3597	7441.41086228575	12128.6181914964	1	0	2	4	50.2207556331901
1	51084	212.144414467597	604.439333753746	1	0	3	1	53.0005409115091
2	15180	621.739705438221	1228.72279019367	1	0	3	2	32.01609593598
3	8690	2646.65661937669	3229.25003054883	1	0	3	3	48.1686124667422
4	2266	7571.31924488192	11923.452597042	1	0	3	4	46.3772104341841
1	8118	102.667381499223	287.471081240371	1	0	4	1	11.5096657383781
2	5357	368.337951592901	701.699949305528	1	0	4	2	18.539268453955
3	3707	2144.90291921646	2780.96042830677	1	0	4	3	50.8436706487302
4	11055	368.105065836497	602.362357408404	1	0	4	4	32.8424897370801
1	2871	39.554643406166	42.6904246861623	1	0	5	1	2
2	10296	196.394024126475	335.127154823199	1	0	5	2	30.3553504445942
3	2299	785.767190979921	870.962437015635	1	0	5	3	17.6155210644576
4	16511	219.504079978764	263.305389832211	1	0	5	4	38.2463701871136
5	5016	1217.7291645258	1485.5162882154	1	0	5	5	65.5529202792958
