STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1133	175.066440759509	181.18994206965	1	0	1	1	2.11961858192049
2	5500	749.078117491931	767.661759334409	1	0	1	2	43.5939597264159
3	13651	325.246081188918	422.953979660823	1	0	1	3	59.6144174626216
4	23562	147.035623228078	280.490920491494	1	0	1	4	68.2377473390561
5	6864	45.1115056318265	95.7202565488745	1	0	1	5	6.7838283565747
1	3014	323.571766718765	381.12644361118	1	0	2	1	27.9285438258406
2	5709	90.8642401204787	141.887102752738	1	0	2	2	19.6942263891122
3	3234	136.529362173938	210.852184346079	1	0	2	3	16.5788377839085
4	16016	38.8949629238327	99.8580012987131	1	0	2	4	38.8841752202597
5	27676	8.31189317553039	34.2277383916068	1	0	2	5	23.0312488583618
1	1111	315.042989399724	294.725953087944	1	0	3	1	5.11550786137617
2	10054	134.791330826122	204.479685259801	1	0	3	2	32.1177686566386
3	14971	213.847765073213	422.895869439209	1	0	3	3	98.9100839129494
4	13893	41.9631513271302	179.314708613398	1	0	3	4	38.9195909565186
5	38709	1.65484233899614	6.83284841179319	1	0	3	5	4.13209268663816
1	9636	0.133593661296105	0.0596809240157467	1	0	4	1	30.1714607159805
2	5456	0.083240945279332	0.0416905635232879	1	0	4	2	11.9337279680476
3	6391	0.0424998598567728	0.0259499827956565	1	0	4	3	8.70101462224923
4	7238	0.0139197911070824	0.0181036796640884	1	0	4	4	6.87463178737594
1	16005	0.199793556806582	0.368251888255901	1	0	5	1	8.73446568200215
2	924	6.72689056313113	5.6027723769947	1	0	5	2	7.67203599831545
3	1892	1.52717601795194	1.67953859804176	1	0	5	3	4.70919639558985
4	18513	0.0930628091359882	0.223857501976127	1	0	5	4	6.14163688993016
