STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16632	6.64353908161397	18.4633699106912	1	0	1	1	3.40862761535793
2	10670	34.3858078302741	98.1654781242393	1	0	1	2	11.6264550438686
3	18271	7.9921680494662	35.1268727576954	1	0	1	3	7.12403289596147
4	5137	341.07238774348	467.800101355637	1	0	1	4	26.6743587819329
1	23309	9.9229901389811	44.8089132811578	1	0	2	1	6.7160995525192
2	23342	42.9779439893487	174.829840829653	1	0	2	2	26.2411400241871
3	4213	77.264847689092	326.158962992639	1	0	2	3	8.83588080234928
4	4785	564.585203022846	1016.53795528392	1	0	2	4	31.2776858095414
1	10736	19.9451491743266	100.467934890057	1	0	3	1	6.18764812486267
2	15609	75.7556700872198	373.992841968682	1	0	3	2	33.4883693533296
3	10472	28.5726662240296	154.65478325966	1	0	3	3	9.29070392992933
4	2409	1323.42144753459	1757.98118606705	1	0	3	4	24.2944265973105
5	39512	97.4528788718989	225.899705623512	1	0	3	5	51.2035778539327
1	3740	40.4960858070788	120.611190109197	1	0	4	1	2
2	770	398.170263203585	939.62332571258	1	0	4	2	2
3	1661	1650.32621747488	4793.38183673703	1	0	4	3	14.6947137007837
4	18359	278.324551900577	518.358181415379	1	0	4	4	17.5642030901417
5	4191	1287.36497231157	1166.47400651811	1	0	4	5	9.02281799559977
1	13948	26.0978490343999	54.4328961407637	1	0	5	1	2.53990041098423
2	7150	316.885910251859	523.999908205569	1	0	5	2	12.5337365085875
3	2398	1060.07575995166	1998.77696248293	1	0	5	3	16.0345516803624
4	13838	67.3856633323282	149.763344963498	1	0	5	4	6.93301540994206
