STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4114	0.217124948217872	0.0923697001760216	1	0	1	1	3.51597229037977
2	25751	0.126952446019535	0.0553884635183196	1	0	1	2	13.1966907379236
3	4389	0.245556253506551	0.119163197051586	1	0	1	3	4.83904153400373
4	10549	0.464020486467111	0.324698852891036	1	0	1	4	31.6915637539603
5	4642	0.704908777625207	0.68438124507901	1	0	1	5	29.3937406583279
1	3256	1.92315715887898	4.44959695907735	1	0	2	1	3.67329635446453
2	4961	9.9903964186335	33.18276745513	1	0	2	2	41.7381050144431
3	46497	2.02137023797315	2.07291905432473	1	0	2	3	24.4375787051687
1	33902	1.18883137909775	1.78318476021686	1	0	3	1	10.2823582208263
2	5071	4.1388588602879	6.44179804840598	1	0	3	2	5.55612211847994
3	34408	8.87558010113718	12.7710995784501	1	0	3	3	74.7409798727601
4	3179	27.5705105894169	70.9590386175566	1	0	3	4	38.3680137724432
5	660	14.6112821826307	29.161594124914	1	0	3	5	3.2736049081548
1	17072	7.97922851445762	7.33544888035803	1	0	4	1	2.70436141322134
2	1892	33.5367585317665	63.5517267959568	1	0	4	2	2.59658247261264
3	4675	128.320452071114	281.833452256101	1	0	4	3	28.4529820135798
4	4598	118.773630096216	185.470335904917	1	0	4	4	18.4160743273554
1	14245	78.6071754522133	138.276716350427	1	0	5	1	2
2	12199	368.099688704682	644.823517213543	1	0	5	2	7.81120782392075
3	6083	1477.58691772698	2396.87149324933	1	0	5	3	14.4782362831151
4	2673	2888.12345729436	8941.11283483379	1	0	5	4	23.7325075473506
5	1793	359.071007300385	859.788476343313	1	0	5	5	2
