STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5467	1440.41055393986	1357.0099236042	1	0	1	1	18.2589546400372
2	2464	3580.17018896177	2148.98637302124	1	0	1	2	13.0322132338591
3	7678	1555.38159206713	1370.50970229389	1	0	1	3	25.8984656064896
4	17446	780.203336233459	739.136939934244	1	0	1	4	31.7369061784275
5	16390	167.821707642524	438.516854518893	1	0	1	5	17.6892351840026
1	4510	797.892422118055	683.870984770583	1	0	2	1	13.986371705288
2	3938	1282.08767672905	1429.11985831786	1	0	2	2	25.5210602020763
3	10505	682.216757037602	742.092154892684	1	0	2	3	35.3515323380387
4	35761	65.6951079714734	291.415768896744	1	0	2	4	47.2581862062076
1	10901	772.023923286055	1279.79258007736	1	0	3	1	40.4482340383021
2	4257	2292.35612454655	2114.63158866956	1	0	3	2	26.0994889309001
3	11891	856.248277112434	937.249598168474	1	0	3	3	32.3122558998289
4	19481	167.50814878648	685.645524471322	1	0	3	4	38.7261683834851
5	30690	39.2736190548427	108.60321885223	1	0	3	5	9.66347268440594
1	330	395.629689699837	536.812954997987	1	0	4	1	3.8602702477711
2	2068	140.266645155089	120.610974665247	1	0	4	2	5.43523270761282
3	3113	38.5482510992673	50.9364560742175	1	0	4	3	3.45532281430705
4	22726	4.56461557307866	11.1763789532021	1	0	4	4	5.53483785613579
1	3476	79.6479017702857	85.5577634124423	1	0	5	1	2.67841624904775
2	6369	17.2100676746114	30.2487134196953	1	0	5	2	2
3	8448	282.978230524319	588.923372777134	1	0	5	3	44.8075889951914
4	18700	7.34545306893758	41.4525671584866	1	0	5	4	6.98122955082474
