STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11000	1681.55187984396	3219.30572315958	1	0	1	1	25.6981792278225
2	6655	4046.61114123111	7961.86759236962	1	0	1	2	38.4512495466018
3	18546	1375.03883267781	2415.37083712251	1	0	1	3	32.5073465174648
4	4730	2565.88118911086	6048.81579029586	1	0	1	4	20.7624665796888
5	9779	917.220783328427	2102.65852800694	1	0	1	5	14.9214367366616
1	3003	1468.21172176627	4393.01948946134	1	0	2	1	11.8476739419166
2	16841	527.060557029368	1337.56998526373	1	0	2	2	20.2301462264029
3	16610	1461.89566518749	5131.87411928807	1	0	2	3	76.5526552143078
4	10714	700.967054722605	1115.98976171058	1	0	2	4	10.7380762541052
5	8481	1620.44671724539	3441.17632336652	1	0	2	5	26.2100965438986
1	14762	1420.20214118342	3346.56196956617	1	0	3	1	27.464001834112
2	10219	3882.65728542967	10264.3766896337	1	0	3	2	58.3123746994846
3	7634	906.495915187682	2376.99445069769	1	0	3	3	10.0878837862233
4	6666	1377.22719868786	5834.21242004373	1	0	3	4	21.6205776863057
5	39457	437.321502414005	1083.64706176194	1	0	3	5	23.7701360046248
1	693	686.472901020181	829.999884901185	1	0	4	1	3.87982071090827
2	4510	273.939263128191	492.631812728387	1	0	4	2	14.9864712893076
3	2486	559.643906487113	982.189363954587	1	0	4	3	16.4701191667956
4	21032	294.866814953147	257.874800166369	1	0	4	4	36.5838887573653
1	18260	340.420009860135	368.570821087616	1	0	5	1	15.576333886744
2	9779	801.800822896687	877.34075188417	1	0	5	2	19.8566633683744
3	3883	1496.57685412109	2708.7595655036	1	0	5	3	24.3434077258401
4	5412	807.198343858174	834.034029084575	1	0	5	4	10.4468433613697
