STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	10791	1672.06036187775	1507.21437550689	1686.23609069208	91.2188872765149	77.0658207201349	530.054730624292	1073.7336257168	1.98780080759518	1312.8760910186	380.733396630192	7.75285043811651	0.20759687527523	64.2940433182152	229.383767713749	3.86189104204323	3207.21815085045	1307.62045055155	1344.09965073716	249.558208629903	126.374757399823	727.399814632999	1079.69398795499	2.49681261931103	926.097789324221	1730.847886988	102.903174072565	0.104072217828202	228.859188354346	645.333701704566	27.3471144411421	1	0	1	1	10.632345199037
10	19580	927.504878112242	304.626176913541	2963.45644542249	110.749297696276	473.075308280853	0.338566390684119	111.017595135413	425.261770659051	583.6334489759	4120.99753103097	221.155895199757	863.951129487764	29.6186408870882	1.4734921280667	461.11436274869	1459.68810829181	299.435533945431	4133.7960351122	507.882741316368	504.809341342876	1.56506049612977	468.727177815597	629.961349990381	835.295793537727	11230.7238863205	790.484869655825	2201.83969287093	60.8537504599134	27.4685120424085	912.506277323435	1	0	1	10	43.6398489606941
2	9625	3310.43873972781	1790.07370406056	2272.52900819316	1227.97301227254	98.0175681350767	1806.4214026244	1257.14876034583	1.31742380689457	1650.79713801472	129.588701252664	10.4430060487838	0.152254524356945	74.3326857538922	334.720716318256	86.4017881313058	6816.19199046646	2307.40081624156	2558.81737174028	1871.11940174803	177.435951059598	2972.68250937933	1093.0869698691	3.53248356314029	974.34248603388	965.845044676247	134.950088004004	0.0679376394723373	278.185178705813	1922.79548802885	1293.95734660359	1	0	1	2	22.7549064856376
3	33275	1255.52674134116	1234.17178625269	5107.7203471999	1706.47979712668	247.518071859083	407.517449177692	829.054054162557	23.2604376198259	1449.82663810094	528.348057216778	16.4228276168576	2.2229470068954	53.7691120076077	676.52601030519	24.980073252874	3238.54493527437	2258.61437947387	7407.3482418051	3140.92830866786	488.116459330743	882.249972973821	1356.99046599257	40.6351233519865	952.923329121221	3105.14367086925	103.036676631172	12.3428637718122	184.0751802988	2588.58021434411	453.983711088106	1	0	1	3	57.9938185173034
4	65384	1554.2416492682	1266.32421071475	5890.99807399409	1118.29429266619	219.977628698851	261.527278009275	711.659715985019	75.3832956874565	2057.11171071717	1429.45048826658	19.1412613627724	2.13616335008447	141.409606016731	343.59008218141	8.41776416524103	5358.64742043583	2220.19149102238	9944.90604945478	3236.45011778479	455.249850984049	710.712412332118	1250.59415191886	166.440766794343	2070.16639211629	9021.3617583978	80.0320618789235	5.03099814157962	1192.83968916808	3945.1218506541	93.8829995636223	1	0	1	4	170.297497325054
5	32571	1076.03915358341	589.677942348301	7627.54713707557	726.642501551989	562.986086355367	16.2603200608881	64.1788145536569	269.385125890738	889.470192782256	6026.12408831005	144.493194084274	4.19358632024402	206.154729468021	128.604217325282	187.79900980448	3243.30901629059	1209.07859050177	8885.15013596948	1290.44940720307	743.92774997332	162.652344025785	404.979692209062	293.329992864501	1631.89378475189	24753.2908183408	321.776956224174	7.21917266195394	851.749834721846	781.010945164531	602.482469933995	1	0	1	5	61.8554154089361
6	11011	312.550662049216	486.516141950896	4991.69614944082	319.176850682781	281.419669768263	1.01136121054733	39.5829699178078	275.841264328945	661.245240490629	2590.22396086166	205.090753812431	9.29528778033458	399.702560825915	149.476586917738	265.429606447007	573.645432345605	1038.57146732012	4896.46625628595	502.841867751157	306.585181807476	14.5695411730714	99.2019660402539	393.370999973677	728.513474453916	19166.5619517413	313.723132773592	11.3588455805001	1629.38866141502	542.014563034626	593.054180230565	1	0	1	6	23.9809125338504
7	17886	599.281498852819	202.599876299509	2069.46119811423	89.9376117324041	252.349666965188	15.0489810586748	44.2383461970711	383.523953658767	290.310214224214	4501.30668744304	438.932249317569	6.77457096225773	54.3191072943027	139.470776688656	1522.15895505191	1159.08955028687	466.575746096681	2878.34465743872	284.53349128017	303.57402820485	119.061975893378	278.293643040437	423.774643793451	434.811799298221	22718.1391805364	627.851134123684	27.3505796273935	278.53836080766	1225.65483954308	1823.12328575081	1	0	1	7	32.2390387586717
8	28688	347.408487206128	109.682635618819	2738.15422412119	335.161412950237	289.814240702951	0.407228343087002	25.2334775849136	651.077332120259	474.734594316794	4110.12126837911	199.094642886891	38.2502443495708	64.7648714135838	9.2311593280649	487.336229232963	687.007614891182	121.839575464736	2277.66794415447	531.48724961841	551.065134638647	0.982204923563021	95.5765049973925	1093.93154711094	449.34474104276	44763.9139006582	1143.12425046472	133.622364049872	243.75351159351	18.9332035773858	1028.3315193832	1	0	1	8	76.5093530152303
9	22341	347.027042224654	129.750021285597	2830.54177208704	103.087127135233	129.936508826232	0.894596456251789	51.4472276056627	306.689415478846	840.515915197676	1571.51869444007	126.976596821705	168.04523038453	96.1300427723283	16.6203801304731	311.61069408786	425.976861221379	145.268198879629	3272.93170743297	583.902000371541	158.46818058647	8.00904826028194	174.2815168353	642.337638363015	905.855111548477	5157.57509339746	349.695978312097	418.250428046167	238.067681319239	320.426857026886	783.9599524712	1	0	1	9	22.6305573941758
