STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13046	12.6658644564917	34.0413398384391	1	0	1	1	2
10	14212	2418.70495178457	2001.93472720391	1	0	1	10	118.829261108198
2	30888	22.784942154476	86.5228611426226	1	0	1	2	11.1619210268808
3	16544	68.7000703407738	270.802712960625	1	0	1	3	18.7116384290401
4	23012	154.616486504035	573.438987681878	1	0	1	4	55.1137379418403
5	51788	157.597182659689	339.18613734252	1	0	1	5	73.3644250005951
6	36443	321.913371687963	609.460234153004	1	0	1	6	92.7636395700236
7	37488	516.721695166748	854.872059792594	1	0	1	7	133.847936100604
8	10648	913.537009491403	1130.73493105823	1	0	1	8	50.2860051810803
9	17083	1420.83668506835	1589.6085849626	1	0	1	9	113.415555704523
