STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	506	438.923317630858	1012.33151134432	1	0	1	1	2.75980263224787
10	76395	2.82681131332537	10.1962353234171	1	0	1	10	4.19671558356803
2	17853	127.376903410672	375.684106585023	1	0	1	2	36.1358920046189
3	5379	1106.00228444503	5953.33868705863	1	0	1	3	172.530899602218
4	3619	185.609326946802	1147.41038001398	1	0	1	4	22.3723759987444
5	2563	788.603450108987	6496.19041735195	1	0	1	5	89.7040610772271
6	14872	195.691405898297	1297.17469217051	1	0	1	6	103.93757882111
7	19844	35.9476965304875	90.042433346428	1	0	1	7	9.62678324776544
8	9768	83.1938478312639	795.645236651434	1	0	1	8	41.8725943832928
9	100353	13.4016800153167	61.1795555788276	1	0	1	9	33.078166584158
