STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	968	49.2510273543089	337.833051910471	1	0	1	1	3.44806253050614
10	15422	165.493897272978	407.309918027505	1	0	1	10	66.231306689557
2	20537	11.7920680858637	141.74523542979	1	0	1	2	30.6932666246351
3	21505	5.5898553676375	24.2904327530313	1	0	1	3	5.50772614773374
4	84172	25.6464525777762	89.883146657231	1	0	1	4	79.7707276757668
5	50919	173.566545866329	345.688078496982	1	0	1	5	185.593134997043
6	3014	760.27338879042	3394.87561422118	1	0	1	6	107.885916167539
7	27346	53.6459793960927	117.571149563716	1	0	1	7	33.8994157543
8	22946	416.214171762567	608.587488469388	1	0	1	8	147.240623660818
9	4323	557.097819987551	1480.3577166873	1	0	1	9	67.4760337408241
