STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	572	348.771282361419	231.368538766823	1	0	1	1	2.41486295058448
10	37906	79.6652636803572	66.753980238789	1	0	1	10	46.1718504224059
2	11550	207.220472014129	100.638878651067	1	0	1	2	21.2099638968707
3	15213	148.553157320483	81.6071246214918	1	0	1	3	22.6534888662996
4	9680	267.502684821577	243.765495998607	1	0	1	4	43.0566013764087
5	16016	682.655169116752	414.459325151082	1	0	1	5	121.123421864258
6	11594	435.219363001731	294.407382460117	1	0	1	6	62.2836632619228
7	10934	268.285062368842	159.853927833467	1	0	1	7	31.8929386512975
8	15125	450.692140077815	297.492367554536	1	0	1	8	82.1038206581817
9	122562	208.685495114861	145.245921464347	1	0	1	9	324.826865562392
