STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	33748	4.57739442075861	11.8225812485353	1	0	1	1	3.79408998071071
10	28028	478.49659848523	566.50531934036	1	0	1	10	150.988329295654
2	24167	35.2217475789535	62.2758076519178	1	0	1	2	14.3116395397695
3	55660	70.2477400662212	167.04691958422	1	0	1	3	88.4156109295216
4	51414	252.199710727467	286.487025227538	1	0	1	4	140.066291396021
5	18667	434.775944265327	646.200464860319	1	0	1	5	114.706775679446
6	16346	760.398377470792	1317.6761617094	1	0	1	6	204.817689363079
7	17413	171.948546886028	258.962176222316	1	0	1	7	42.8802407224849
8	2002	1503.09305210149	1510.93066761199	1	0	1	8	28.7644376591461
9	3707	113.910794962321	155.334462519491	1	0	1	9	5.47567525678584
