STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10362	1640.30286804964	3045.48874327507	1	0	1	1	35.0732920877784
10	21054	855.940912604732	1166.62937606668	1	0	1	10	27.2987946698947
2	7810	3516.72041924991	7206.81393436756	1	0	1	2	62.556189838598
3	19635	1614.73350090649	3385.93946133656	1	0	1	3	73.8900635326711
4	35860	803.716191064233	2206.49490644074	1	0	1	4	87.9405464495319
5	39776	1345.24207375318	3606.02229421096	1	0	1	5	159.41363317588
6	9306	3523.08853360532	9083.15050704671	1	0	1	6	93.9453965903012
7	17347	1238.68773315288	4092.07937934891	1	0	1	7	78.8940722804647
8	43318	445.083644656962	989.944737884329	1	0	1	8	47.6601378219743
9	46684	323.197393563188	388.83581239869	1	0	1	9	20.1748476186312
