STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5280	1519.11662287268	2141.64706111975	1	0	1	1	31.5901303212222
10	22341	297.508335899601	256.10315098231	1	0	1	10	15.9840608369576
2	3234	2557.70262035184	3934.8322339743	1	0	1	2	35.5496909404482
3	7535	1457.10491829273	2327.36773265079	1	0	1	3	48.9911753653761
4	32351	1445.60822022266	1781.39184609497	1	0	1	4	160.996621755869
5	62689	943.723662805611	1144.18282870837	1	0	1	5	200.380917755466
6	17721	1460.93850523678	2765.82469835729	1	0	1	6	136.924911683126
7	16808	604.711531896915	928.534249018307	1	0	1	7	43.5997059392823
8	28468	320.155850671807	558.471131621893	1	0	1	8	44.4147558527518
9	54725	138.310775519853	191.037550017835	1	0	1	9	29.206136019562
