STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	17963	6.61786106240934	21.8690045717116	1	0	1	1	2.76185351291946
10	19151	399.508024752141	417.947688359547	1	0	1	10	56.2737865134552
2	13816	40.1348376120688	90.8743510091616	1	0	1	2	8.82706656726792
3	31020	133.699062778175	217.821314872928	1	0	1	3	47.5045188465274
4	23661	269.555988689988	358.359110364621	1	0	1	4	59.6134560076554
5	67738	517.090112701795	617.588444055908	1	0	1	5	294.119816085711
6	27577	238.870211389297	247.52847208559	1	0	1	6	47.9915674972429
7	4455	582.224336637234	598.73018479301	1	0	1	7	18.7530372702928
8	15994	232.796314123079	248.200943623529	1	0	1	8	27.9095783174165
9	29777	97.5041343699995	114.119381165544	1	0	1	9	23.8909326359492
