STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	8767	44.8083797285339	57.1815156649072	1	0	1	1	2
10	70653	89.842126213348	203.934290319203	1	0	1	10	32.1265438907516
2	4972	196.794882679229	375.299543178711	1	0	1	2	4.16056489340695
3	6380	987.219860153153	759.314221260219	1	0	1	3	10.8015320116507
4	10131	2892.39760773365	3210.46546794329	1	0	1	4	72.5209463595779
5	28622	1220.05274052628	1364.69670658572	1	0	1	5	87.092200818331
6	32791	627.376385856246	742.436269810926	1	0	1	6	54.2821431133434
7	9999	1014.8670983135	1223.67232830994	1	0	1	7	27.2812868494013
8	24838	1503.84413805859	2527.77965419123	1	0	1	8	139.990634234965
9	53999	389.418063970266	460.380943399898	1	0	1	9	55.4301686847626
