STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	25641	29.5472967496394	91.3513805230157	1	0	1	1	7.99859369536829
10	11671	234.05812404341	221.400951574406	1	0	1	10	8.82370774390367
2	34232	83.2670469760242	203.657193061287	1	0	1	2	23.8065021612285
3	34749	185.813352822818	300.774414690129	1	0	1	3	35.6900177791929
4	18667	321.613930155671	392.91322057669	1	0	1	4	25.0457898584574
5	51447	453.393024027035	555.910307273545	1	0	1	5	97.6626140435954
6	12298	576.352051343872	744.029768144397	1	0	1	6	31.245563641685
7	29810	254.427957490713	281.400633502875	1	0	1	7	28.6451176134336
8	22066	137.897863136114	154.826714361332	1	0	1	8	11.6662982310469
9	10571	573.855674593549	450.816629177296	1	0	1	9	16.2734473488008
