STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	7370	1476.68009858113	1345.15894790051	1	0	1	1	8.34660509161781
10	25410	43.1677932717464	199.003505345394	1	0	1	10	4.25729911609425
2	4389	2399.01610099007	1833.58865734074	1	0	1	2	6.77542071778703
3	20427	961.515752756751	1218.59455902267	1	0	1	3	20.957168092482
4	17886	809.034686573039	771.651033217816	1	0	1	4	11.6199147446006
5	13849	1278.66705154973	1113.05055383057	1	0	1	5	12.977829928815
6	27236	489.277574925027	562.417863414143	1	0	1	6	12.8964804736383
7	65879	92.8549206793336	371.476108184212	1	0	1	7	20.6037683488051
8	63624	38.2378292387669	134.291711956668	1	0	1	8	7.19347854959201
9	5082	297.461991833872	578.751817269032	1	0	1	9	2.47625748684691
