STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	39226	5.58260927397875	17.7467033308832	1	0	1	1	7.32632798756351
10	21252	783.47578439953	668.89842549889	1	0	1	10	149.607933787161
2	46068	30.0064345110676	69.0001541400605	1	0	1	2	33.4536926947233
3	11495	78.6638336820842	133.480637396831	1	0	1	3	16.1481171533089
4	31471	160.559311372643	209.336273556939	1	0	1	4	69.3345459711495
5	42262	291.740883234082	342.901090723926	1	0	1	5	152.51535021292
6	24541	577.713693960069	874.5038154302	1	0	1	6	225.864828489825
7	16621	145.406063134767	250.891965135463	1	0	1	7	43.8872680073281
8	2904	459.854312777616	881.190606319385	1	0	1	8	26.9315354721806
9	15312	208.024426443025	325.669708832825	1	0	1	9	52.4812209814595
