STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4972	17.4071120502279	19.6696495383765	1	0	1	1	12.3918896705229
10	93368	1.45695396652502	2.99543344797415	1	0	1	10	35.4378631847234
2	5808	28.1622540623475	34.088664338965	1	0	1	2	25.0868647752595
3	11066	15.580842521898	19.0565950115575	1	0	1	3	26.7205729701831
4	19800	36.5022165679837	39.4231872027403	1	0	1	4	98.9069292677643
5	13310	18.9281744474899	26.5913565801774	1	0	1	5	44.8464783931169
6	54813	7.33142273324727	9.51987203217104	1	0	1	6	66.1187263309815
7	12837	17.4733414930484	26.204213518314	1	0	1	7	42.6230444358331
8	24409	30.5566583458505	49.0074269258586	1	0	1	8	151.572943489103
9	10769	11.7498497649986	19.7963927224962	1	0	1	9	27.0129014316353
