STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2783	1503.04876851705	1162.86285408541	1	0	1	1	5.8423042584676
10	76714	171.611020895472	244.081574376823	1	0	1	10	33.8027544463635
2	7788	1776.52893650908	1951.04918944045	1	0	1	2	27.430683434271
3	13409	1344.49995464468	1533.5720912947	1	0	1	3	37.1229989997878
4	5885	2602.65185269951	4182.17245231574	1	0	1	4	44.431489304477
5	18436	956.573306715199	1312.37961924145	1	0	1	5	43.6785933075392
6	22429	1344.39075953321	2400.43152688553	1	0	1	6	97.1945021291014
7	26653	887.367941524888	1033.77175060124	1	0	1	7	49.7408526919118
8	22726	1476.91020452216	2903.35698687555	1	0	1	8	119.114849752127
9	49786	459.503630390088	875.997847358179	1	0	1	9	78.7322640214707
