STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1452	998.90774032973	551.200570141528	1	0	1	1	2
10	39259	297.99360381262	401.955010178577	1	0	1	10	38.390304845731
2	32549	1951.1123487561	1123.5000779663	1	0	1	2	88.9642739004342
3	9856	1695.59144870284	1071.38069148694	1	0	1	3	25.6891296953631
4	23815	1320.16514455562	802.118219766509	1	0	1	4	46.4722659049327
5	28050	2955.51164210888	3000.23968184375	1	0	1	5	204.735756590424
6	27500	1051.65023810368	923.301497833323	1	0	1	6	61.7704997867239
7	35079	639.476807223745	615.068867133754	1	0	1	7	52.4899103069918
8	29623	554.237492307402	462.577404049321	1	0	1	8	33.3363720525009
9	23969	942.466522378203	1044.21046017356	1	0	1	9	60.8895600425407
