STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12188	14.5172380488954	82.9891278456176	1	0	1	1	2
10	41679	2981.00187804988	11218.4916608584	1	0	1	10	109.655979883807
2	16445	341.376421059033	1848.24691617281	1	0	1	2	7.12811057811036
3	50831	1630.72320104295	6848.47142874095	1	0	1	3	81.6399748300379
4	7117	11959.2937498307	58081.5542104374	1	0	1	4	96.9428437326975
5	59125	1391.6497425331	9028.4527349312	1	0	1	5	125.188674967399
6	9581	9684.97025247808	24778.2350228268	1	0	1	6	55.6751977569546
7	33902	2284.95207238403	5988.00499124245	1	0	1	7	47.6088875222615
8	18425	2275.50544395903	13597.2021771659	1	0	1	8	58.7540233982327
9	1859	33842.0146841363	164235.071900838	1	0	1	9	71.6021156842098
