STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	41173	3.17278371545012	3.50540417121217	1	0	1	1	2
10	34903	37.8375406094318	83.782371749326	1	0	1	10	23.9055344580445
2	56111	5.87882460085212	15.3483864484492	1	0	1	2	7.04034245049734
3	40227	230.024054964847	710.604069562687	1	0	1	3	233.683681431948
4	32912	111.971145032256	261.31629997577	1	0	1	4	70.3078511647145
5	13123	284.506893861064	510.879231835483	1	0	1	5	54.8067976467041
6	11979	576.914046717674	1793.47610439373	1	0	1	6	175.630205555657
7	15213	303.554513638112	668.303163626098	1	0	1	7	83.1134733976363
8	3278	1798.69843646425	4682.7208837433	1	0	1	8	125.484554006171
9	2233	486.214277394214	984.070323693505	1	0	1	9	17.9637874680887
