STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1617	178.59203598469	711.516368779929	1	0	1	1	6.89467001472199
10	84667	3.24427216681703	9.61223182770975	1	0	1	10	4.87704741622439
2	16016	114.156447012834	343.427146335652	1	0	1	2	32.961521538182
3	9460	699.437406087466	3252.09451734277	1	0	1	3	184.362617454907
4	1034	182.910544291631	847.968098155895	1	0	1	4	5.254345448192
5	2178	1077.86440059017	7628.54956056296	1	0	1	5	99.5676867166956
6	19712	143.572508694009	881.544220293588	1	0	1	6	104.134194628729
7	17171	33.4046315568696	85.7188774526491	1	0	1	7	8.82044777551615
8	9207	86.562689905831	683.766004395176	1	0	1	8	37.72630030875
9	90090	12.6316933865338	48.0960668556142	1	0	1	9	25.9659800563
