STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	22121	12.0222228235975	95.56742117975	1	0	1	1	16.082441537636
10	14905	131.670993841755	302.961274662585	1	0	1	10	34.3523505005682
2	52514	10.0621357927156	31.0304112240389	1	0	1	2	12.3965258227358
3	43615	22.9935619610216	79.6391969942945	1	0	1	3	26.4240941280423
4	26246	69.4453776328032	162.059187237135	1	0	1	4	32.3574388824503
5	19063	19.2357943790546	46.1032269456383	1	0	1	5	6.68590083480427
6	33440	149.137158701608	250.713675952803	1	0	1	6	63.779579537675
7	17325	235.71830174084	338.486650243284	1	0	1	7	44.6120465638375
8	19899	494.257654810828	563.340488766151	1	0	1	8	85.2785047245013
9	2024	1209.01953786121	2488.81629580535	1	0	1	9	38.3213419038363
