STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4235	1.84883705108222	21.1373363846117	1	0	1	1	2
10	20548	724.614124548143	1165.06235968176	1	0	1	10	98.3048415366429
2	26840	0.948584607772409	8.03252212348974	1	0	1	2	2
3	12881	4.77375021364514	63.9987239284427	1	0	1	3	3.38514342346144
4	107415	15.3244026387507	145.348509029747	1	0	1	4	64.1108733183127
5	18194	110.569617699263	425.712470113428	1	0	1	5	31.8053911617941
6	5038	261.086399747586	600.92368911596	1	0	1	6	12.4317900427018
7	12045	450.412266996202	1463.02328442722	1	0	1	7	72.3626097664496
8	34485	155.705528516782	503.167703038128	1	0	1	8	71.2523457108195
9	9471	34.6163987641993	103.181663483061	1	0	1	9	4.01286491907653
