STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	44110	0.396073906365812	1.42711434718747	1	0	1	1	2
10	1353	356.408468853144	573.122317733481	1	0	1	10	5.68774686005575
2	5192	7.66532512662794	30.2389303228274	1	0	1	2	2
3	26719	2.61989145270755	11.1527376066378	1	0	1	3	2.18573157848066
4	68112	1.55618643188682	2.42295174874292	1	0	1	4	2
5	59719	10.10603320191	20.3029299060336	1	0	1	5	8.89337047647398
6	33715	147.616725606018	269.687181086788	1	0	1	6	66.6927476495257
7	2871	670.688188348282	804.848757796064	1	0	1	7	16.9489427555241
8	6226	1193.428351503	1735.53678834406	1	0	1	8	79.2570826567939
9	3135	1548.21557624899	3874.45140206263	1	0	1	9	89.092860960979
