STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9779	114.189135477497	247.22137515038	1	0	1	1	18.8904160033382
10	174757	8.08249680338565	35.4861790224534	1	0	1	10	48.4568164261645
2	7898	130.683605719131	526.00325585492	1	0	1	2	32.4613531812735
3	1342	449.450443207089	1419.58909566528	1	0	1	3	14.8859387819468
4	6127	952.474019498659	3958.33135655139	1	0	1	4	189.505179770724
5	1947	75.0001813435471	168.786835291809	1	0	1	5	2.56782592929484
6	4048	753.956144691451	5701.69811687185	1	0	1	6	180.345695598562
7	11638	168.686049114851	970.42141655498	1	0	1	7	88.2469661124544
8	14773	46.0318952524129	208.868375565452	1	0	1	8	24.1102906039908
9	18843	55.3192339905097	481.974619218475	1	0	1	9	70.9635404978006
