STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13574	9.50290062649126	33.7641347355435	1	0	1	1	2
10	91564	39.9391381621755	121.168498814811	1	0	1	10	45.3812447570469
2	14971	81.4773390190379	201.331298584652	1	0	1	2	12.32889134046
3	28138	104.556093094734	308.924990955937	1	0	1	3	35.5556144147541
4	6688	53.8492270129393	171.802882432847	1	0	1	4	4.69990013790044
5	5236	906.027086052347	3681.30673692731	1	0	1	5	78.8430766849118
6	8965	44.3699222827551	112.795559346864	1	0	1	6	4.13622557884151
7	11066	257.36497380056	1467.68785556119	1	0	1	7	66.4333704191144
8	47366	48.6503897663299	157.455822490247	1	0	1	8	30.5061467695887
9	23584	352.657795435054	1349.92301163609	1	0	1	9	130.223207070093
