STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	39567	2.87308433316628	29.1847722145452	1	0	1	1	2
10	20691	1587.45283571937	1032.27306471287	1	0	1	10	30.4171315043118
2	27786	12.1605386803818	94.4219181404893	1	0	1	2	3.73629388725115
3	26510	29.9690597275255	135.86521976248	1	0	1	3	5.1293248264674
4	34540	60.3947471685601	180.620482361166	1	0	1	4	8.88446969487344
5	14443	143.960898452545	338.219317774549	1	0	1	5	6.95661549483452
6	19943	72.5786641136565	167.597380272334	1	0	1	6	4.75992263960582
7	32164	171.54285892584	326.442258506665	1	0	1	7	14.9526651091919
8	15686	357.095800758703	488.338914178394	1	0	1	8	10.9087684426468
9	19822	609.352851115293	679.792102883366	1	0	1	9	19.1895931110366
