STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	78672	3.05150402179042	3.86013603767254	1	0	1	1	4.26607305884573
10	26510	41.5503180453522	70.8418946155857	1	0	1	10	26.3818582690467
2	19118	8.85721674192431	19.7949642488521	1	0	1	2	5.31621659194999
3	28743	196.206237322678	471.745679352775	1	0	1	3	190.478303192242
4	14498	174.539180403447	324.974645880573	1	0	1	4	66.1855317074033
5	37818	105.302232188724	199.598620548281	1	0	1	5	106.038012872328
6	9823	239.11879261051	337.603028030204	1	0	1	6	46.5860581927771
7	30316	323.030557431228	685.66060282272	1	0	1	7	292.002508350567
8	2772	1548.32774259951	3476.62070565069	1	0	1	8	135.380472603307
9	2882	317.396599420754	571.124585131862	1	0	1	9	23.122262091669
