STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4620	848.844111526638	720.208850486816	1	0	1	1	2
10	33429	3217.21336797801	4036.49822729585	1	0	1	10	67.5282747937393
2	17765	2238.50893312923	2057.27909484737	1	0	1	2	18.2900936021042
3	12001	4865.42250378478	4964.21151143809	1	0	1	3	29.8143411306108
4	26565	5472.64481316898	8110.4682223944	1	0	1	4	107.823456644252
5	17314	4589.19835697258	4106.93403515021	1	0	1	5	35.5854648822236
6	74811	7043.82114794244	10690.85942319	1	0	1	6	400.253909087322
7	18260	4205.50032049973	4011.67476172282	1	0	1	7	36.6592852024096
8	26906	2722.33317971745	2181.48253463055	1	0	1	8	29.3736814917792
9	19481	1230.6496663467	1329.00473979	1	0	1	9	12.9567261398216
