STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	26554	33.1457479577596	132.038815417237	1	0	1	1	10.8289965608592
10	33132	34.1717179836021	72.5668847188025	1	0	1	10	7.42579195191608
2	36784	86.9415875090637	326.416616213079	1	0	1	2	37.0841097547101
3	4411	966.462255022787	3826.1712060001	1	0	1	3	52.1264444077592
4	10153	71.2777495597879	289.678913513728	1	0	1	4	9.08380733874277
5	12364	241.146736583356	1406.7434042062	1	0	1	5	53.7193228247805
6	39226	31.6365096832381	111.824664960725	1	0	1	6	13.5477843518234
7	15697	84.5243684385329	280.0700156849	1	0	1	7	13.5781286572671
8	24948	373.16816481774	1400.90902613052	1	0	1	8	107.944946224493
9	47883	84.8110139493006	268.975384332054	1	0	1	9	39.7786952903938
