STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13662	103.472587167462	295.051810385116	1	0	1	1	3.67995809159546
10	21065	9.53300565406373	47.1715452155608	1	0	1	10	2
2	3839	1010.58076698014	806.529672729784	1	0	1	2	2.82662873887598
3	5412	1313.98175557517	2070.63692128944	1	0	1	3	10.230386691379
4	7502	3395.1132889414	4456.10144741464	1	0	1	4	30.5184475290308
5	26928	1347.76204169928	2551.3220712691	1	0	1	5	62.7190819636472
6	10901	728.433335857671	1807.83993728095	1	0	1	6	17.9910546993358
7	26433	611.716903776564	862.83536607832	1	0	1	7	20.8211494672836
8	30327	1877.01250650444	4516.80342864499	1	0	1	8	125.05208865378
9	105083	287.20263056365	593.325413692347	1	0	1	9	56.9187982033129
