STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9746	2.02038868122193	33.9398122223055	1	0	1	1	2
10	1441	744.603955185309	5523.14940488706	1	0	1	10	11.0383600771352
2	3696	147.917447850766	1410.11006391249	1	0	1	2	7.22834311416217
3	13090	32.0744222006222	457.656442867944	1	0	1	3	8.30869873151258
4	86361	2.46753170882276	84.9523937747007	1	0	1	4	10.175296383362
5	46365	29.4648731516007	414.061656187655	1	0	1	5	26.6261922694896
6	27412	260.416634978333	2073.58319995953	1	0	1	6	78.8344375466852
7	12188	1311.55599971573	4944.49261874445	1	0	1	7	83.5810770283745
8	15532	13602.7816879817	16091.8231621344	1	0	1	8	346.646179395351
9	30778	66.841129868904	323.441988833102	1	0	1	9	13.8067219511745
