STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3740	23.3646174448634	24.6588443326619	1	0	1	1	7.62143454301167
10	66462	1.86370221688353	2.18301821704293	1	0	1	10	11.9901100376674
2	16368	14.4716494300387	15.6347432821303	1	0	1	2	21.1484612507903
3	23364	36.6862372822848	39.3589682220344	1	0	1	3	75.9947001011783
4	16379	15.7389663970152	22.1402349915762	1	0	1	4	29.9682933915019
5	40062	7.47055372396859	9.46483164017731	1	0	1	5	31.335593349727
6	15092	16.1271438989939	23.7018783953028	1	0	1	6	29.5611935506237
7	24156	28.6491217432993	38.2178734624708	1	0	1	7	76.2928681316815
8	13750	13.9980376613606	18.0237373326263	1	0	1	8	20.4804714951862
9	27236	3.73352198275306	4.3825245449548	1	0	1	9	9.86415948666105
