STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4785	17.504668683415	113.852136660705	1	0	1	1	30.996587966684
10	12991	7.80742701209917	49.0609418286151	1	0	1	10	36.2634589731719
2	18194	6.90612587345411	27.9966819340662	1	0	1	2	28.9818107725342
3	13101	9.9605246674884	103.572805108297	1	0	1	3	77.204203717667
4	3883	24.3921860569811	299.074536302375	1	0	1	4	66.0750638378612
5	20526	4.76822358348666	24.6007657682251	1	0	1	5	28.730535007637
6	23210	6.78526831981454	71.3337378836704	1	0	1	6	94.2021651717858
7	60918	1.59730463113607	9.0213431252869	1	0	1	7	31.2685398056313
8	91190	10.8398819147479	49.7491503884728	1	0	1	8	258.121182962607
9	2354	86.5792614131679	831.959988366856	1	0	1	9	111.429366500515
