STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	26257	11.0583445861944	6.21204843809512	1	0	1	1	4.35827021497125
10	23034	57.9065070460247	35.9545791437193	1	0	1	10	22.1287961302637
2	20229	31.0035127291563	22.069086544497	1	0	1	2	11.9286964651759
3	26576	108.941583091114	56.4152345190558	1	0	1	3	40.0608563431288
4	24497	159.535163555629	98.1357659635804	1	0	1	4	64.2354002197652
5	24079	168.543437434218	163.153784846004	1	0	1	5	104.971116221591
6	27324	157.344981917965	126.873006777183	1	0	1	6	92.6291597739246
7	25168	277.639440535855	176.170197165733	1	0	1	7	118.47190211066
8	6314	35.5260250897289	39.2704274416153	1	0	1	8	6.6252828108403
9	43131	131.331732254343	59.2690761501426	1	0	1	9	68.3049064455982
