STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	759	1071.28298829102	673.782133783122	1	0	1	1	3.19908468694656
10	102399	0.826789832492305	7.03991322035945	1	0	1	10	4.50949065579879
2	1793	1151.27786043479	1558.87994999396	1	0	1	2	17.4846696387059
3	2321	3650.58761772808	4520.43864287083	1	0	1	3	65.6326877307789
4	8635	1200.51900005563	1680.14968797421	1	0	1	4	90.7558832407567
5	6094	814.406800783847	1515.52043802105	1	0	1	5	57.7735052029285
6	47927	429.207689414137	867.472071343009	1	0	1	6	260.075963838069
7	23727	217.882698587852	472.677395624012	1	0	1	7	70.157181674733
8	44022	40.4758738683815	233.335031846362	1	0	1	8	64.2560739042457
9	13475	24.3426824439955	146.061532627759	1	0	1	9	12.3120139084521
