STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3388	461.771252477388	568.575995610619	1	0	1	1	2.44509335541931
10	66814	4.9049157842401	12.8405646480049	1	0	1	10	2
2	7678	80.2216269904471	175.697101574796	1	0	1	2	2
3	27797	385.879123721261	1764.54173759115	1	0	1	3	62.257744921113
4	28710	736.952113000385	2737.55245200721	1	0	1	4	99.7606258124817
5	2838	3156.9108000898	17043.4658959567	1	0	1	5	61.3951168583778
6	5258	544.688144792766	2741.73504140816	1	0	1	6	18.2982513014902
7	19877	53.9991712096376	244.847194247807	1	0	1	7	6.17745360995568
8	32296	227.072866292239	2018.20825485377	1	0	1	8	82.7328981227396
9	56496	89.3053777515309	338.936549672684	1	0	1	9	24.3052239801558
