STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	10505	17.7771789611584	52.3785563679988	1	0	1	1	2.19845423307661
10	15807	211.828090078031	245.189995627562	1	0	1	10	15.4853151022457
2	14795	43.8672033615689	127.765453847124	1	0	1	2	7.55259608819918
3	42790	103.115477765926	254.832479591414	1	0	1	3	43.5677281724403
4	15642	185.286101793978	297.762408822817	1	0	1	4	18.6092983423251
5	28644	267.166081660599	440.994309940047	1	0	1	5	50.4701387601164
6	76626	494.934840010466	694.312998711186	1	0	1	6	212.568691488577
7	11495	299.487354462368	288.977638535654	1	0	1	7	13.2721432715613
8	22154	136.502984040298	164.999282447814	1	0	1	8	14.6050165938344
9	12694	573.848136556345	572.276024741736	1	0	1	9	29.0249776174179
