STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	990	165.880501733959	178.034839247599	1	0	1	1	2.54867928783855
10	25707	3.31773862016843	35.9592559926261	1	0	1	10	13.3670968062663
2	1067	1051.15549978717	722.777764137146	1	0	1	2	11.1517801996118
3	7260	523.168295951489	602.363649515866	1	0	1	3	63.2368713196917
4	17303	241.360242647957	384.030900990114	1	0	1	4	96.0865449083961
5	49192	108.688919569194	205.459545410885	1	0	1	5	146.14898420229
6	19855	173.42279822507	378.411825152047	1	0	1	6	108.644961172538
7	28336	30.6626239418527	105.322456001458	1	0	1	7	43.1553377499696
8	23133	7.36786233447627	29.6875943599317	1	0	1	8	9.9307480446881
9	73766	0.258839315173721	1.0557420053131	1	0	1	9	2
