STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1452	1.24743681661919	2.54996357265805	1	0	1	1	2
10	28116	1588.08399587185	1657.75580035181	1	0	1	10	201.418333093934
2	10010	4.86631342949287	31.1539386736107	1	0	1	2	2
3	803	1127.84817121964	4775.93262699429	1	0	1	3	16.5729051057183
4	7051	5.5037080161574	42.4445333701672	1	0	1	4	2
5	4389	107.962288010789	892.720218271261	1	0	1	5	16.9319063722805
6	104148	7.7707776709795	73.9862175877116	1	0	1	6	33.2986530566769
7	56881	120.552788650875	486.937340689358	1	0	1	7	119.692023517334
8	21593	556.474033015886	964.361402535612	1	0	1	8	89.9865727261757
9	16709	160.922950127317	387.29995021407	1	0	1	9	27.9655140584684
