STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	64713	0.946632758902643	2.30472010746295	1	0	1	1	2
10	2002	154.082831259502	268.909928788706	1	0	1	10	7.03102067767184
2	27577	2.5070019448866	13.1952599738648	1	0	1	2	4.75239395267588
3	67925	3.27855808653102	6.52400159716333	1	0	1	3	5.78750221317892
4	42240	10.2625697070707	23.3502111553713	1	0	1	4	12.8813738899513
5	18535	120.1110010484	237.142783314485	1	0	1	5	57.4050325463756
6	6083	331.722455127657	694.397506646798	1	0	1	6	55.1662462322697
7	9537	104.343229579892	166.928733370596	1	0	1	7	20.7917165080335
8	3025	630.950477986316	866.990191851047	1	0	1	8	34.2520861515756
9	9515	1482.11370013037	2984.80808702833	1	0	1	9	370.913524926763
