STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3564	2006.23883936216	1473.40473790537	1	0	1	1	22.7005881476223
10	31218	47.885145162136	262.430592714368	1	0	1	10	35.4157863971045
2	3058	935.431290063455	1106.99281060316	1	0	1	2	14.6338848528999
3	4312	2778.9205418523	2005.93906594021	1	0	1	3	37.3915820430656
4	30250	1129.66315190097	1630.12528880417	1	0	1	4	213.168837040255
5	33297	937.750272808146	904.761394202524	1	0	1	5	130.231642893018
6	34089	286.855880240306	565.951295618627	1	0	1	6	83.4008874520257
7	45672	66.4831200469926	442.05506007713	1	0	1	7	87.2777914970603
8	60170	27.8522853807378	85.1646964723811	1	0	1	8	22.1522052377709
9	5522	324.746276527862	739.176713685989	1	0	1	9	17.6450149704315
