STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9900	1458.48269412508	2860.19586803466	1	0	1	1	19.5483535828519
10	16379	1019.93530359578	2130.91977794729	1	0	1	10	24.0953755421523
2	5698	3963.34076766294	8563.95828869154	1	0	1	2	33.6880757176054
3	11220	1724.60185540994	3711.03669781601	1	0	1	3	28.7453315524297
4	8800	1252.5965102488	2225.95829207562	1	0	1	4	13.5231825641321
5	4653	2484.96678300354	6871.79255487334	1	0	1	5	22.0740646095666
6	29876	726.11937968745	1901.60404328378	1	0	1	6	39.2212796620738
7	66407	1578.65512695534	4853.27200283564	1	0	1	7	222.498818632299
8	32219	539.059078820467	1237.00813097424	1	0	1	8	27.51463952507
9	61457	357.555207825716	536.656799488579	1	0	1	9	22.7691704933717
