STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	14960	0.741508998102385	1.64778350574818	1	0	1	1	2
10	27170	3.9274620609494	15.8810527250359	1	0	1	10	34.6676512704058
2	7062	3.03786221046686	6.99730237805802	1	0	1	2	3.97021337559903
3	39270	6.14024302823202	13.3964128637534	1	0	1	3	42.2673400718362
4	52866	1.48812219927391	3.72741065612205	1	0	1	4	15.8321241687626
5	22737	4.28299345914284	8.9844795771346	1	0	1	5	16.4127585590047
6	18183	11.9769585317381	17.5531493181683	1	0	1	6	25.6434278935191
7	8822	50.4770249152951	93.6220228381825	1	0	1	7	66.3591122042569
8	31295	4.04598607236427	10.4528517858265	1	0	1	8	26.2824133674332
9	24244	22.6548473833975	38.6284435363351	1	0	1	9	75.243151604508
