STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	10450	1520.54478647353	1487.64013931858	1712.49630622999	74.360387386277	85.3862574913628	494.53205270267	992.677900100367	1.78358818517095	1292.43379391281	866.740075957443	9.09723660742578	0.150719089718778	64.515953845642	245.009121931378	4.59082987305385	3139.34402665977	1271.61853369284	1433.81417017486	128.853652774646	143.069122220289	631.33561844524	1004.34144477381	2.28809087341992	930.1931910355	3730.08930555639	113.912731002008	0.0708807548973504	221.568682765478	730.817088301956	25.5388612579367	1	0	1	1	9.37428080219103
10	24497	880.232098785163	283.628094905601	2912.664108593	104.239409526746	402.986007571601	0.650242885405343	104.385488035244	438.903599010943	561.852259713956	4243.68839593063	238.653343831983	827.479008219789	27.7860288642687	10.6255040629287	566.065353584114	1705.88378882212	317.872005885531	4051.70650886681	448.581395942191	459.665517194773	5.22689197854805	372.38514512082	760.480387389691	775.08917109733	16401.7459716986	814.602996221211	3339.45491729972	75.8516586748888	261.401029254887	1037.2931871663	1	0	1	10	54.2515651343211
2	7711	3591.8165544822	1671.93924421323	2515.71603314132	1016.7772612651	134.513974875972	1719.98961238707	1118.59793157636	0.842774536779666	1609.80057262107	315.832993166132	15.5222008229397	0.108879895513982	124.617520596799	740.229651368314	107.773890017901	7921.50663628799	1752.38800634724	2690.85078966199	1315.22161740144	198.419474561882	3398.37005397178	962.503888568454	1.68695654765522	1070.57968668417	1414.67570702433	171.166135740224	0.0448032134480449	476.431842022659	4791.52412764749	1380.03734123137	1	0	1	2	24.4923996280159
3	39864	1108.63869763283	1297.91950050493	4835.71912574917	1681.28437588061	230.33687776749	368.730428280181	821.313019888169	20.7753866308957	1454.85543446012	444.908317419877	14.9339105400218	1.87626506891602	57.5153212157462	639.844630788012	13.8696265006915	2981.55037565889	2302.16097521667	6681.63100488998	3410.92316790372	479.87095362646	800.903283945914	1317.30605746792	42.4582251854559	961.304446006145	2097.87934554412	81.3595770678489	12.2080577673333	241.260166291995	2447.15635844247	174.635804690098	1	0	1	3	73.836912923122
4	57068	1555.87104522381	1172.02529590214	6198.05457380221	1253.17478389154	271.440849601322	264.463685435987	662.794306850831	73.3824166916864	1924.95947747727	1438.24648390091	25.6142849151465	1.66229364753741	125.915459293834	275.52271564665	16.4121522194875	4846.40056989627	2081.94097241006	8998.97210648959	4188.59973830505	555.436917974351	654.742763207884	1180.24356879951	143.553054749145	2002.16456827449	7001.23476971124	95.6742745113726	3.34574366402139	982.428840266457	2195.42647252189	155.753634401008	1	0	1	4	133.311588962631
5	45892	856.509581948255	657.222521209521	7023.99145853522	470.302381546225	446.275133733391	14.1398132328834	123.072221476819	254.186865715414	1005.70824849849	6142.79042033288	163.123914292209	5.93291282149733	270.926336847948	148.396233566261	225.090462008469	2810.23767154619	1527.66094773804	10062.7524045834	782.796936136021	594.678793296773	108.95925282153	459.050921429924	355.68810509998	1830.10100636765	29228.4945382497	331.372949414827	10.4342866758796	1237.6157346244	977.337412260183	617.789800309727	1	0	1	5	106.967461243343
6	15994	448.969636574307	191.395632925165	3500.42291359177	335.669949995869	203.828495490006	5.27448192692691	57.8708127621804	369.354660656895	457.599785213691	1350.77938218955	226.564629734875	10.7911319451468	39.0383983293741	28.4894945810337	453.836135544435	1002.33240211152	352.714329141199	3200.36179866707	529.038022906762	253.395378063775	69.1864517434004	182.127307352129	620.98458852602	431.760791165323	5594.72776121275	504.361218799102	34.232726523621	173.364212475328	419.902713276135	1145.47208906601	1	0	1	6	17.568737623963
7	5291	450.574301029009	127.861766425165	2996.5250500268	519.392106418522	619.805356423758	2.29352595685944	21.3866712997793	844.675573997018	468.276990526391	5113.23885557858	496.451199632693	4.35311919294647	52.6117647993146	70.3832456743046	883.773168388119	856.843427627171	216.404266706156	2580.36483072718	767.397840649067	913.005673135699	26.2154931899989	149.434679852906	1542.69846854166	516.996763353136	43384.9736491958	2030.88058838977	5.50233928025772	166.04376664286	952.363352443704	1494.72316357202	1	0	1	7	14.1006773588542
8	22011	402.03330486296	109.676181906373	1934.25763112186	98.0602603849322	235.230757821547	4.04126581401465	14.9519490221915	574.493107311318	332.039101885531	6180.77269802696	298.453356376609	44.8186591821155	90.5346822205021	88.2264399669181	1219.9116221254	970.765621056413	359.487344135702	2696.58266339294	277.988896124827	497.966290232697	43.4687005246728	131.62460710533	1167.18764536342	431.913588448431	40787.894920264	560.863467940293	146.308040446101	325.014664231274	1392.66720370652	1553.23262725546	1	0	1	8	47.99607860871
9	17831	318.389091126058	116.918791948971	2665.07145603431	91.2123549191972	105.608626539372	0.484536848490431	22.9975766053926	161.316108374098	849.800865736863	1434.24777101837	64.3059332141038	170.365745839169	110.791424333147	7.73968044471174	172.969707769728	420.875426542142	135.480181819562	2593.93292416493	272.721286704826	128.5610551569	4.95118999042983	61.3535754826727	280.487992646676	874.001588899085	4592.74147007549	159.358913102973	377.573050698329	253.986147480535	176.710788950391	512.878707013649	1	0	1	9	11.3746232334245
