STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	37642	5.60617310642188	13.7900522392279	1	0	1	1	2
10	28336	373.971977626585	548.462113243659	1	0	1	10	55.6661768276023
2	59884	41.4386724483065	96.2457753417975	1	0	1	2	20.6442303095153
3	21681	132.413974635991	202.537206030926	1	0	1	3	15.7286099428728
4	34848	246.263076432705	284.11691545872	1	0	1	4	35.463465069817
5	20174	375.078619326131	555.253963749404	1	0	1	5	40.1226770639121
6	21439	568.567423315315	987.402748265232	1	0	1	6	75.8237176686382
7	3014	1068.96367735481	2767.90447641	1	0	1	7	29.8813740736613
8	17336	146.530387564473	245.682475701793	1	0	1	8	15.2556001177768
9	2255	1372.85932952912	1431.5328940106	1	0	1	9	11.5625625801336
