STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1496	363.601985011841	307.956504382381	1	0	1	1	2.41283022177706
10	21329	5.04248262460088	14.7311171261034	1	0	1	10	2
2	7601	235.176972171342	169.36378709254	1	0	1	2	6.74212931202797
3	15466	598.111195771995	465.04514217897	1	0	1	3	37.6685503601149
4	9218	267.261527433894	246.211782983717	1	0	1	4	11.8864269610445
5	2970	841.367690948573	760.265842332284	1	0	1	5	11.8257234098118
6	14201	221.960946324155	230.119951065457	1	0	1	6	17.1150822097984
7	43868	116.229388146765	159.520145280582	1	0	1	7	36.6495933650675
8	33693	75.7195731082872	126.979493947995	1	0	1	8	22.4067600310268
9	96767	28.63013548464	82.4053347080294	1	0	1	9	41.762683218563
