STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	6061	1084.31219380996	2112.92871235042	1	0	1	1	6.72009923860916
10	16038	1031.39252232614	2148.55913857044	1	0	1	10	18.0819006600874
2	32472	2116.3829787775	5183.37435333747	1	0	1	2	88.3218529244046
3	29062	729.277691080017	1946.25014478366	1	0	1	3	29.6804659157048
4	23683	1585.83926249771	5112.85378885092	1	0	1	4	63.5399174460731
5	21681	1307.55402415084	2951.21878609138	1	0	1	5	33.5758699430676
6	8976	3058.58595088996	7683.29780110868	1	0	1	6	36.1890404736923
7	13728	1081.23221293327	4212.86633076982	1	0	1	7	30.348100107596
8	19811	647.492540784527	1442.98584283429	1	0	1	8	15.0008209034179
9	75097	365.801587488368	586.888652578143	1	0	1	9	23.1272959735367
