STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	23155	1.81103209085603	5.15403204573284	1	0	1	1	3.28619808094861
10	32868	18.8588587732658	35.6503616497892	1	0	1	10	32.2655487747975
2	34188	6.49411684231383	14.3096865811347	1	0	1	2	13.471180487047
3	53889	1.49469676207286	3.58838340801002	1	0	1	3	5.32476937413981
4	39589	4.88853642497925	9.19028460283121	1	0	1	4	10.0185606217019
5	9361	12.0339227175353	17.3917493419786	1	0	1	5	4.48298567014326
6	10450	45.3624716091284	87.9485137467922	1	0	1	6	25.3073477604453
7	12045	3.35223931287233	12.0911812438094	1	0	1	7	4.01030471976913
8	5445	8.67902352218693	22.4978828849932	1	0	1	8	3.3731944231786
9	25619	2.4659154656563	4.36623698353577	1	0	1	9	3.08014609085692
