STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1188	44.3488443615222	332.889561140852	1	0	1	1	2
2	10087	6.17938875974534	21.1525701442118	1	0	1	2	2
3	11308	27.3896167237591	208.242091959152	1	0	1	3	11.7733601951286
4	21241	11.3893435688065	34.0102370296498	1	0	1	4	3.61185852567914
5	5621	403.508189151424	529.37828095662	1	0	1	5	14.8773581427572
1	33275	16.0891636564416	50.3552119496192	1	0	2	1	11.6626237995315
2	9053	86.2199737423455	128.705595771916	1	0	2	2	8.11005359130878
3	7106	156.87822519756	201.358977990775	1	0	2	3	9.95932662816629
4	5280	338.386623714592	455.227951338131	1	0	2	4	16.7300260483629
1	34232	17.2984856111594	79.1351633279747	1	0	3	1	8.28953906226376
2	14256	68.7463090700292	163.954289925873	1	0	3	2	7.15235524865407
3	17171	177.638909577695	358.777721168281	1	0	3	3	18.8516627226064
4	5918	543.097251084098	693.713085255565	1	0	3	4	12.5627134323039
5	5643	750.632899253784	1054.78235190698	1	0	3	5	18.2138397373371
1	9504	105.390572079447	227.757667588346	1	0	4	1	2.08735558303597
2	242	2957.38183712147	7474.73754721831	1	0	4	2	2
3	825	948.68297198698	2345.31546804364	1	0	4	3	2
4	17666	114.599481072207	196.327815972938	1	0	4	4	3.34454516448719
1	14124	39.9103755212938	83.6272336250712	1	0	5	1	2.15668799441181
2	7073	196.370026821825	444.357046708754	1	0	5	2	5.73875403338099
3	1551	1329.76639569105	2620.35845393584	1	0	5	3	7.420862489541
4	14245	126.812984273309	333.892536411258	1	0	5	4	8.68462451236776
