STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1309	1255.08575984018	675.301805025865	1	0	1	1	2
2	3377	691.135834157802	293.261731149273	1	0	1	2	2
3	34199	1628.77872858206	963.988907269508	1	0	1	3	65.2904023242688
4	10560	603.942852669008	639.619294744411	1	0	1	4	13.3767119590523
1	3124	1533.89914933751	954.770182418351	1	0	2	1	4.22535072474597
2	8591	2277.50017363865	1447.56187036494	1	0	2	2	17.6170726258266
3	12177	1582.46911454068	946.08023279132	1	0	2	3	16.3200379838772
4	12408	791.759667236558	558.379238266458	1	0	2	4	9.81485611775575
5	18414	356.212519537996	405.549794083142	1	0	2	5	10.5790145561952
1	7238	1741.65862182864	1292.86732082474	1	0	3	1	6.52633654730916
2	17512	3448.0129846516	3485.38894960866	1	0	3	2	42.5680667690622
3	11396	1694.40801620858	1573.92443745539	1	0	3	3	12.5093069044161
4	20339	922.090139046924	846.124484842726	1	0	3	4	12.0021980163929
5	20735	401.128625697246	475.835601350018	1	0	3	5	6.88110049497087
1	4312	657.011364248787	486.895359989556	1	0	4	1	9.45995451911526
2	5742	355.168043778854	231.199852915464	1	0	4	2	5.98171066009674
3	3696	627.974942940903	658.149353676983	1	0	4	3	10.9605180629166
4	9295	352.475607297058	350.16102652428	1	0	4	4	14.6653307215513
5	5192	592.387346809892	463.25488786303	1	0	4	5	10.8375060900692
1	2035	860.648833602928	496.747882576511	1	0	5	1	2
2	7403	1286.81738351881	1185.93793109764	1	0	5	2	16.6396555275376
3	5654	685.130826561976	462.097214544665	1	0	5	3	4.95180777028543
4	2684	1708.15588875453	1402.4059021944	1	0	5	4	7.13396319668705
5	19217	376.013102997269	358.529966351893	1	0	5	5	13.0582708596614
