STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	23738	156.175915433413	910.343038273942	1	0	1	1	2.13181930132816
2	17908	904.790042805255	3548.14526336633	1	0	1	2	6.26829845658766
3	6677	3953.93892914435	9714.07806263745	1	0	1	3	6.39858810754041
4	1122	16660.1126450314	29578.3393277811	1	0	1	4	3.27391826594774
1	25718	1362.81138595425	5390.16434122859	1	0	2	1	2.04816590870661
2	4708	5891.53121935788	27609.9367138879	1	0	2	2	2
3	4631	32331.7616145281	125362.811140221	1	0	2	3	8.5776720471484
4	19657	1969.41982717255	9252.83073229089	1	0	2	4	2.68731013219855
1	12133	325.74934960636	2244.23464599726	1	0	3	1	2.18527815082038
2	21571	1097.76875379813	4917.79694527406	1	0	3	2	8.51355870401099
3	6589	4612.43566394678	11326.4255131852	1	0	3	3	5.98939070275905
4	11176	10824.801223291	23201.883068498	1	0	3	4	20.810374230537
5	25751	2953.76321857325	6505.65548578482	1	0	3	5	13.4448333408574
1	18491	143.258760118936	445.559802102763	1	0	4	1	2
2	9746	3731.73793827021	6929.05218356436	1	0	4	2	10.9456648937699
1	17325	658.966192809898	1625.06416869816	1	0	5	1	2.74936553603011
2	1507	8215.81256218188	13921.1053529682	1	0	5	2	2.04868741214654
3	8701	999.095433686148	2633.50156230932	1	0	5	3	2.23764648493581
4	9460	6833.24012835731	13481.9779417672	1	0	5	4	12.4547058541543
