STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	23738	156.175915433413	910.343038273942	1	0	1	1	4.03917742813654
2	18007	915.428136743892	3561.75082234937	1	0	1	2	11.9880522655127
3	6512	3996.02558655284	9807.83711785287	1	0	1	3	11.9379942819063
4	1188	15816.3666887199	28961.8530323529	1	0	1	4	6.431118558255
1	21714	867.234406842898	3286.20047854352	1	0	2	1	2
2	8701	5100.73522433718	21702.8712779097	1	0	2	2	5.26567540203852
3	4774	31296.7318137939	123586.481702192	1	0	2	3	16.4520910417308
4	19525	1977.16583908437	9285.28549434445	1	0	2	4	5.05538254660079
1	10593	257.811561697753	1890.86691689667	1	0	3	1	3.03815628167778
2	23914	1124.5588335663	4951.53313206501	1	0	3	2	17.9606516064873
3	8602	6467.79190886558	13886.2673463581	1	0	3	3	18.1182035682934
4	7535	11512.1006223365	25901.2488512697	1	0	3	4	29.6028916443097
5	26576	3125.40029881631	6855.65517267688	1	0	3	5	27.6355908797381
1	17886	126.878748856675	393.137930190952	1	0	4	1	2.0916831845944
2	4037	2224.93304261927	4252.30399527663	1	0	4	2	5.10647001014578
3	6314	4397.70473307511	7854.68273283505	1	0	4	3	14.752681180899
1	16434	541.736496128594	1303.41025908286	1	0	5	1	4.06684697604302
2	15719	3950.99115629967	7363.90335207455	1	0	5	2	21.9768987687807
3	2530	9144.28880675886	22392.5504872129	1	0	5	3	10.7561660243693
4	2310	1294.29504764122	5211.26075184038	1	0	5	4	2.28553669217652
