STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	15983	1674.82834034841	1428.53187774073	1	0	1	1	3.73187341602877
2	11286	2819.77691414273	3320.60083494729	1	0	1	2	6.12541316090129
3	15818	5464.41091988577	6057.10238837303	1	0	1	3	15.6601224936677
4	1254	7012.46222273421	18779.2882026834	1	0	1	4	3.84906577075371
5	5104	4426.23140879438	6818.86776586864	1	0	1	5	5.6885503030415
1	4455	6876.43915133148	8206.55717901748	1	0	2	1	5.25372576789641
2	25949	4666.6744574839	4478.60481732183	1	0	2	2	16.7002149368156
3	9537	5397.97993654455	7081.43626303382	1	0	2	3	9.70491698847592
4	9603	8399.21629728549	11680.5289407801	1	0	2	4	16.1186301538885
5	5170	854.748652979849	2908.26615051895	1	0	2	5	2.16064483298832
1	22066	3011.89242927729	4877.09642396856	1	0	3	1	10.8617400296492
2	33308	10136.2370052368	12809.9110076893	1	0	3	2	43.0634794137717
3	13893	4833.52312974804	4595.48862527083	1	0	3	3	6.44380188122172
4	7953	1563.5830606277	2463.25954625991	1	0	3	4	2
1	5808	2279.96436977037	1926.86481770679	1	0	4	1	4.20489130314168
2	5819	4071.73515493226	2507.14763031893	1	0	4	2	5.48157276781109
3	935	6194.91163557824	6313.48579832099	1	0	4	3	2.2179805719768
4	9427	1799.56448382869	1591.13546397022	1	0	4	4	5.63582606937005
5	6248	2939.1710772149	2971.45202309975	1	0	4	5	6.97568180949382
1	7337	2030.52149283501	2036.14527265162	1	0	5	1	4.47841993955409
2	7601	3773.56915040578	3177.18284165315	1	0	5	2	7.23953173754672
3	10351	4159.07450771866	4884.00572047697	1	0	5	3	15.1550023443997
4	11704	2251.7406852318	3080.02208533082	1	0	5	4	10.8065154596205
