STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3740	85.0477649279503	167.318893524138	1	0	1	1	2
2	8965	29.6385946051911	62.6129713414944	1	0	1	2	2
3	6908	197.213989135953	622.809421945794	1	0	1	3	13.7280939039578
4	18579	61.1250685935254	238.44034509732	1	0	1	4	14.1352929889727
5	11253	41.0925299141743	112.060037482885	1	0	1	5	4.02366504873358
1	19448	88.4248988584305	383.328444209043	1	0	2	1	5.4463584955258
2	3883	830.426742703017	3118.96529345522	1	0	2	2	8.8478584248644
3	20966	41.6020781395803	153.450402987734	1	0	2	3	2.35041119462964
4	10417	182.838139136032	1052.88852447877	1	0	2	4	8.01281818751745
1	1188	578.952808191228	2147.61937181637	1	0	3	1	2
2	39380	37.1283244429208	103.688661659252	1	0	3	2	3.13382754875309
3	21593	478.290161158993	1712.4756586751	1	0	3	3	28.3795500220034
4	15059	63.6892410415068	248.347079783715	1	0	3	4	2.87027365112457
1	10098	23.1206263002108	71.5648578562454	1	0	4	1	2.10874948569007
2	8338	52.7037801360116	87.5769238882635	1	0	4	2	2.13079362004729
3	4081	60.2655413873442	218.819182755921	1	0	4	3	2.60580430226439
4	2827	290.794414275693	652.823147689661	1	0	4	4	5.38531565284383
5	2893	256.554971839052	334.915684931479	1	0	4	5	2.8273119647571
1	2288	89.3660795800669	155.005227055363	1	0	5	1	2
2	1254	471.976242574759	629.808739597514	1	0	5	2	3.18310659345202
3	11198	46.4082324110578	73.9040920194228	1	0	5	3	3.33544598236115
4	22253	26.8519923928293	50.1777033784375	1	0	5	4	4.50032947940936
