STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13563	53.3233218466676	79.3130186838261	1	0	1	1	2
2	10230	1016.56784643175	1437.65639120061	1	0	1	2	7.96737551941345
3	8217	3696.69666053463	4987.40158730102	1	0	1	3	22.2009817556847
4	11935	1448.55418487621	2978.34019410352	1	0	1	4	19.2566740649873
5	5500	745.034629982217	1440.44748906771	1	0	1	5	4.29185137538013
1	7469	998.118602823464	1416.67317736572	1	0	2	1	10.3679044262693
2	2585	2106.61489600235	5556.35086831322	1	0	2	2	14.0737251172001
3	33297	662.381139949152	1128.21670744537	1	0	2	3	36.8092092046038
4	7909	108.967321224699	253.541063656952	1	0	2	4	2
5	3454	958.454639666122	2385.87841517835	1	0	2	5	8.07475763574505
1	10934	1717.19031143972	4022.2897489231	1	0	3	1	14.7509330738565
2	924	7422.23778155761	23672.3000233884	1	0	3	2	7.33634081432607
3	14113	1869.49903583615	3688.12775263481	1	0	3	3	17.4579147544392
4	51249	316.786195775752	558.830873805058	1	0	3	4	9.60578491685454
1	4191	357.03208419739	469.221708849359	1	0	4	1	5.54811668755481
2	4224	963.532501014336	892.325062445677	1	0	4	2	10.6340042477183
3	6127	379.445020616744	501.239940259473	1	0	4	3	8.66449746047685
4	6655	61.0874800843269	111.365666092308	1	0	4	4	2.09097676849469
5	7040	94.2756247179432	240.263387229319	1	0	4	5	4.77210601812174
1	3179	292.644401156355	513.18618074791	1	0	5	1	5.88472734327689
2	2607	98.351003874337	236.137914986382	1	0	5	2	2.22058611539316
3	1727	774.364186752335	1306.96769571218	1	0	5	3	8.14175548467795
4	12133	84.4821600722385	272.562501396167	1	0	5	4	11.9287563603792
5	17347	24.1093336930478	114.050807113505	1	0	5	5	7.13647265575482
