STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	44462	29.2136356796614	427.628457919926	1	0	1	1	2
2	2090	2551.60912582339	6593.10657096356	1	0	1	2	2
3	2893	16634.8747468744	22611.6983301814	1	0	1	3	6.16588938518667
1	33759	3.3661680780871	55.0841176031958	1	0	2	1	2
2	15851	484.975340896561	3274.58258693786	1	0	2	2	5.70535251560904
3	5104	16849.5020864525	15845.6092624174	1	0	2	3	8.88974855839859
1	54791	3.50869365579265	110.806876514282	1	0	3	1	2
2	12760	158.815877750207	1161.94688277042	1	0	3	2	2
3	4774	1029.8783085896	4529.4866339402	1	0	3	3	2.45767106659742
4	4895	15276.2010517463	15233.8193506392	1	0	3	4	8.47527613499134
1	10065	65.7699037123631	586.422758016979	1	0	4	1	3.76817640579763
2	11748	23.5308466981343	337.126411439474	1	0	4	2	2.52850225988049
3	3762	517.924368621224	1397.80079786931	1	0	4	3	3.35714968708264
4	2662	3442.95979266702	4585.06268522957	1	0	4	4	7.79219763763683
1	29183	4.07117092861137	31.0884576366488	1	0	5	1	3.85373826584677
2	3212	59.2224735152109	172.670991128792	1	0	5	2	2.35585210180389
3	4598	369.464946770082	569.877925009792	1	0	5	3	11.1302240099305
