STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2992	25.0037445862046	26.379756571887	1	0	1	1	4.87803584992911
2	15994	14.3006977957612	15.6384884498256	1	0	1	2	15.4583978431683
3	4147	26.7214387461607	26.1657423102513	1	0	1	3	6.70624955141664
4	18810	38.4763845787918	40.4691960046878	1	0	1	4	47.0463556005174
5	7502	23.2764306643118	29.8726277480955	1	0	1	5	13.8504250584772
1	1562	22.6813137097562	26.8592952546133	1	0	2	1	7.34150059463835
2	20207	9.45905872287904	10.5459841347206	1	0	2	2	37.2904951971908
3	19052	5.39609631662529	6.33073772737827	1	0	2	3	21.1059103976523
4	6622	7.48358406221165	9.35686689987219	1	0	2	4	10.8424848412124
5	7271	11.2475473378823	15.4687731981449	1	0	2	5	19.6815461110337
1	10868	16.2876864659181	23.0992396908363	1	0	3	1	15.6379376441955
2	24332	29.1605248685218	38.5869563081544	1	0	3	2	58.4858078441148
3	8987	17.8739110573329	20.7461274595254	1	0	3	3	11.6140567930207
4	7579	8.81929293722518	10.6102474504266	1	0	3	4	5.00921395245446
5	25454	3.32563480699634	3.63520980740566	1	0	3	5	5.76391653178281
1	1342	2.67315277863892	2.4944504189229	1	0	4	1	3.06540682033186
2	6809	2.47187422598555	2.26160907408178	1	0	4	2	14.1013794669671
3	2409	3.40900786022625	3.1718935703379	1	0	4	3	6.99706863550395
4	6875	2.61597330969678	2.54326814228477	1	0	4	4	16.0112626259208
5	10802	1.85482458637541	1.89939199598324	1	0	4	5	18.7879546807281
1	1210	3.43742449097262	3.74394678312985	1	0	5	1	5.29769880377969
2	5126	1.71496578162593	1.67285801799161	1	0	5	2	10.0278980501187
3	9273	1.32789605293757	1.26835010121254	1	0	5	3	13.754082771426
4	4807	2.42954963346494	2.28813862098485	1	0	5	4	12.8625974931977
5	16577	1.0958332067269	1.09865981637367	1	0	5	5	21.2981265786658
