STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11836	13.6965505862381	5.00330325069351	1	0	1	1	4.03929006081459
2	13420	7.4510557829544	3.50924520123437	1	0	1	2	3.21225111582243
3	12133	34.0435750750054	23.4540872875558	1	0	1	3	19.4101992175043
4	9009	23.5571635183315	14.200663988285	1	0	1	4	8.7262669869745
5	3047	52.3129350210911	31.4397195115917	1	0	1	5	6.53422936696514
1	16434	97.4093367262952	50.4313916244482	1	0	2	1	16.8095973403486
2	12243	111.726650883804	78.0699494652481	1	0	2	2	19.3858488871199
3	11693	164.163760658136	84.334458993453	1	0	2	3	20.0006490003461
4	9053	208.939822726108	79.8067113384145	1	0	2	4	14.6536228816434
5	5291	29.5729438240788	50.0394066589518	1	0	2	5	5.36986031073817
1	22836	104.846810501049	115.317867645104	1	0	3	1	29.7474232710818
2	18964	191.173026235265	129.621154345491	1	0	3	2	27.7676129339738
3	19338	304.236126211161	186.015633272725	1	0	3	3	40.6343873692986
4	11308	231.372023301889	152.146048634353	1	0	3	4	19.4347605020545
5	4774	41.3994088536459	36.6367253659061	1	0	3	5	2
1	2783	274.634290038224	134.891059820332	1	0	4	1	7.82256811518027
2	13926	121.574237328249	52.7089881490391	1	0	4	2	15.2955130983056
3	7238	169.429272111637	74.0170152916152	1	0	4	3	11.1635707057448
4	4290	129.20008567491	42.1107464683661	1	0	4	4	3.76446455545079
1	9713	97.3167219416291	34.4767005221856	1	0	5	1	9.75977154095198
2	6974	159.833257218058	49.4707833717517	1	0	5	2	10.0552135178693
3	17688	59.0945479568804	28.2356426064376	1	0	5	3	14.5558299173742
4	2618	93.8128249785192	30.2748127205452	1	0	5	4	2.30999837322967
